id                                  , season_id                           , episode_number, title                                                                                             , description                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               , thumbnail_url                                                                                                                                                      , duration, download_url_720p                         , download_url_1080p                        , file_size_720p, file_size_1080p, views_count, downloads_count, created_at                   , updated_at                   , volume_id
00165a80-e0c3-471b-aca9-a639b1ed7d27, 4b30eed0-d092-466b-bd28-2d40e03c2a87,              5, Episode 5                                                                                         ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,                                                                                                                                                                    ,        0,                                           ,                                           ,               ,                ,           0,               0, 2026-07-13 21:00:01.992451+00, 2026-08-01 12:14:58.714693+00, 
002544b0-c9ee-43d3-9de1-372ee5274c65, 64671944-104b-412e-b6b1-a4e672c905c4,              4, A Space Adventure Hour                                                                            , La'An tests a prototype holodeck with a fictional case only she can solve.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                , https://image.tmdb.org/t/p/w500/uH8ElDr6YZPXIVXmcl8QyMv5fCO.jpg                                                                                                    ,       48,                                           ,                                           ,               ,                ,           0,               0, 2026-08-18 22:35:17.676331+00, 2026-08-18 22:35:17.676331+00, 
002819cb-cbfa-440f-a6d5-0f2cc59ea110, 65cb1002-9c9e-41ff-985f-5969bdb956b6,              4, The Taste of Human Blood                                                                          , "Adjusting to a new way of life, Charlie teams up with an animal liberation operation to rescue a gentle soul unjustly framed for murder at a police awards ceremony."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    , https://image.tmdb.org/t/p/w500/vqCuCbYRjPupN8F3Y1HmpKLF1X5.jpg                                                                                                    ,       52, https://hubcloud.foo/drive/visuwaegnu1bojm, https://hubcloud.foo/drive/f1negh1vet4xwor, 496.1 MB      , 1.05 GB        ,           0,               0, 2025-12-30 02:26:34.19546+00 , 2026-08-01 12:14:58.714693+00, 
002b106c-89ac-4720-bc43-28a5e16f7740, 9f52fce0-2eb3-454e-863f-5fe8d99f32ec,              6, Handle With Care                                                                                  , "Siddhi's bold stand-up strains her marriage, while Umang reels from her ex Samara's wedding invite and Shai's refusal to be her plus one. Anjana grows closer to Rohan but faces comic chaos at salsa class. Damini lands a big interview through Jeh, and tension brews when she confronts Ash about his crush on Siddhi."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              , https://image.tmdb.org/t/p/w500/jlcUEa9NTe2YZSeLcgfP3gnmrBQ.jpg                                                                                                    ,       35, https://hubcloud.foo/drive/xril2a2le1rljll, https://hubcloud.foo/drive/enumqlb11m1o1po, 312.34 MB     , 721.49 MB      ,           0,               0, 2025-12-30 02:31:13.292233+00, 2026-08-01 12:14:58.714693+00, 
00353f61-5f0d-486a-8a7f-e83682151748, d9efbdfd-a8c8-4430-960e-9b81d5d74500,              6, The Relic                                                                                         , "During her investigation, Juliette uncovers disturbing secrets about someone she thought she knew."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      , https://image.tmdb.org/t/p/w500/k5UxYAS4Xmcsn3GZdCklXGMIBMd.jpg                                                                                                    ,       51,                                           ,                                           ,               ,                ,           0,               0, 2026-07-13 20:58:22.971612+00, 2026-08-01 12:14:58.714693+00, 
0039670f-c3c8-4547-ab9f-4add2a59f302, d4190015-e1de-4b42-b908-f9e219fca396,              5, With Interest                                                                                     , "A day in the life of Matt Murdock gets intense, forcing him to team up with a familiar face."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            , https://image.tmdb.org/t/p/w500/kV83MLFfJHyiSAaTgituymMReoN.jpg                                                                                                    ,       42, https://hubcloud.foo/drive/hjsl9sj9aevijea, https://hubcloud.foo/drive/1kiwxxxr0yzzzzv, 383.87 MB     , 848.71 MB      ,           0,               0, 2026-03-25 21:47:29.444297+00, 2026-08-01 12:14:58.714693+00, 
00489109-dff4-4aff-876e-cd2f4d37987f, c6e2e8ea-c63f-42ef-b5b4-92b70dbf7275,              4, Broken Trail                                                                                      , "With Rita sidelined, Arjun faces pressure. Meanwhile, fresh clues challenge the case’s direction."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , https://image.tmdb.org/t/p/w500/xlQNoioJo1yd9ESxZsFi0sClgpS.jpg                                                                                                    ,       45,                                           ,                                           ,               ,                ,           0,               0, 2026-06-07 08:57:47.162756+00, 2026-08-01 12:14:58.714693+00, 
004f2b4a-f442-42ce-bff1-f807a0b98d6b, 67ca2e33-e3de-4bdf-8f1a-1dfe31ba45ef,            253, Muramasa's True Identity Revealed                                                                 , "6th Division Captain Byakuya Kuchiki defeats Kōga Kuchiki as Muramasa loses control and transforms into a Hollow version of himself. As Ichigo Kurosaki battles Muramasa, several Shinigami and their Zanpakutō Spirits arrive to help."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 , https://image.tmdb.org/t/p/w500/uHHHSi3GgPh2d9kz9cIVrLTvbJU.jpg                                                                                                    ,       24,                                           ,                                           ,               ,                ,           0,               0, 2026-01-28 10:25:08.510864+00, 2026-08-01 12:14:58.714693+00, 
004fa47e-e241-4a47-b13e-34c316f89913, f6192111-9921-4bc4-97a6-611e6b26b8b1,              7, PART VII                                                                                          , "Bass struggles with the weight of the badge like never before. After a deadly mission goes awry, the U.S. Deputy Marshal's fate is left in the hands of someone else."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   , https://image.tmdb.org/t/p/w500/bITUbrkWLzAc9UbD3mHXEDPeHE5.jpg                                                                                                    ,       33,                                           ,                                           ,               ,                ,           0,               0, 2026-06-02 17:14:36.017212+00, 2026-08-01 12:14:58.714693+00, 
00523a81-96f3-4397-8b4d-da31f9ab1fee, 89c36fe5-1f36-4079-a955-7bd90042bdab,              5, The Pop                                                                                           , "Seth Rollins shocks the WWE Universe, Becky Lynch and Lyra Valkyria roll with the punches, and John Cena wrestles in his final SummerSlam match."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,                                                                                                                                                                    ,       65, https://hubcloud.foo/drive/i6j8ie1w8hnh8jp, https://hubcloud.foo/drive/f4idxxeoowvt371, 603.46 MB     , 1.28 GB        ,           0,               0, 2026-01-20 20:38:47.885071+00, 2026-08-01 12:14:58.714693+00, 
